company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
DIC India Limited,DICIND,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120962_1388905_22022025023557.xml
DIENSTEN TECH LIMITED,DTL,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117062_1321043_29112024034906.xml
DJ Mediaprint & Logistics Limited,DJML,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120404_1382961_13022025083704.xml
DLF Limited,DLF,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117679_1360883_24012025074912.xml
DMCC SPECIALITY CHEMICALS LIMITED,DMCC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119984_1380312_12022025060836.xml
DOLLEX AGROTECH LIMITED,DOLLEX,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
DOMS Industries Limited,DOMS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118560_1370076_04022025023446.xml
DPSC Limited,DPSCLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119245_1375563_08022025024730.xml
DRC Systems India Limited,DRCSYSTEMS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119010_1374125_07022025014638.xml
DRS CARGO MOVERS LIMITED,DRSCARGO,NSE,Fourth Quarter,2024-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_108567_1150553_31052024043911.xml
DRS DILIP ROADLINES LIMITED,DRSDILIP,NSE,Fourth Quarter,2024-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_108396_1149363_30052024101307.xml
DS Kulkarni Developers Limited,DSKULKARNI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120812_1385814_15022025113049.xml
DSJ Keep Learning Limited,KEEPLEARN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120082_1380823_12022025084326.xml
DUDIGITAL GLOBAL LIMITED,DUGLOBAL,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116996_1318085_21112024065223.xml
DYNAMIC SERVICES & SECURITY LIMITED,DYNAMIC,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116662_1314704_15112024031229.xml
Dabur India Limited,DABUR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118205_1366521_30012025071811.xml
Dalmia Bharat Limited,DALBHARAT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117443_1355638_21012025054036.xml
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119739_1378852_11022025084912.xml
Dam Capital Advisors Limited,DAMCAPITAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117670_1360828_24012025072741.xml
Damodar Industries Limited,DAMODARIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118749_1371764_05022025052206.xml
Dangee Dums Limited,DANGEE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119969_1380216_12022025055408.xml
Data Patterns (India) Limited,DATAPATTNS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118766_1371953_05022025063611.xml
Datamatics Global Services Limited,DATAMATICS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118038_1364847_29012025054355.xml
Davangere Sugar Company Limited,DAVANGERE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117357_1350780_18012025042455.xml
Ddev Plastiks Industries Limited,DDEVPLSTIK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119436_1376977_10022025064418.xml
De Nora India Limited,DENORA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118150_1365976_30012025044011.xml
Debock Industries Limited,DIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120963_1388923_22022025115545.xml
Deccan Cements Limited,DECCANCE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119704_1378673_11022025071156.xml
Deep Industries Limited,DEEPINDS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118268_1367074_31012025023941.xml
Deepak Builders & Engineers India Limited,DBEIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120855_1386003_15022025124706.xml
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118075_1365170_29012025075359.xml
Deepak Nitrite Limited,DEEPAKNTR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120408_1383003_13022025084832.xml
Delhivery Limited,DELHIVERY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119130_1374929_07022025064645.xml
Delta Corp Limited,DELTACORP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117223_1345220_14012025054439.xml
Delta Manufacturing Limited,DELTAMAGNT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119870_1379711_12022025041148.xml
Den Networks Limited,DEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117209_1344327_13012025073007.xml
Denta Water and Infra Solutions Limited,DENTA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120905_1386254_15022025035751.xml
Dev Information Technology Limited,DEVIT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119101_1374780_07022025061337.xml
Devyani International Limited,DEVYANI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119589_1378019_11022025034725.xml
Dhampur Bio Organics Limited,DBOL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118606_1370579_04022025054217.xml
Dhampur Sugar Mills Limited,DHAMPURSUG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118993_1373991_07022025122833.xml
Dhani Services Limited,DHANI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118312_1367473_31012025052904.xml
Dhanlaxmi Bank Limited,DHANBANK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_118649_1370879_04022025073642.xml
Dhanuka Agritech Limited,DHANUKA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118530_1369822_04022025115843.xml
Dharani Sugars & Chemicals Limited,DHARSUGAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119830_1379392_12022025020902.xml
Dharmaj Crop Guard Limited,DHARMAJ,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119440_1376994_10022025065131.xml
Dhruv Consultancy Services Limited,DHRUV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118765_1371931_05022025062309.xml
Dhunseri Investments Limited,DHUNINV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120209_1381628_13022025030034.xml
Dhunseri Ventures Limited,DVL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120195_1381547_13022025022613.xml
DiGiSPICE Technologies Limited,DIGISPICE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120906_1386257_15022025035930.xml
Diamines & Chemicals Limited,DIAMINESQ,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118838_1372669_06022025031411.xml
Diamond Power Infrastructure Limited,DIACABS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119532_1377608_11022025121139.xml
Diffusion Engineers Limited,DIFFNKG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119260_1375650_08022025035354.xml
Digicontent Limited,DGCONTENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117279_1347567_16012025043712.xml
Digidrive Distributors Limited,DIGIDRIVE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120685_1384974_14022025062202.xml
Digjam Limited,DIGJAMLMTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120744_1385404_14022025075929.xml
Diligent Media Corporation Limited,DNAMEDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120439_1383330_14022025114908.xml
Dilip Buildcon Limited,DBL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120733_1385317_14022025073031.xml
Dish TV India Limited,DISHTV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120740_1385367_14022025074341.xml
Dishman Carbogen Amcis Limited,DCAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120235_1381839_13022025040241.xml
Divgi Torqtransfer Systems Limited,DIVGIITTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120696_1385058_14022025063907.xml
Divi's Laboratories Limited,DIVISLAB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118476_1369222_03022025051211.xml
Dixon Technologies (India) Limited,DIXON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117401_1353114_20012025053427.xml
Dodla Dairy Limited,DODLA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118146_1365906_30012025041615.xml
Dolat Algotech Limited,DOLATALGO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119651_1378375_11022025054319.xml
Dollar Industries Limited,DOLLAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120228_1381760_13022025034103.xml
Dolphin Offshore Enterprises (India) Limited,DOLPHIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121039_1394894_11032025035522.xml
Donear Industries Limited,DONEAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120748_1385430_14022025080947.xml
Dr. Agarwal's Health Care Limited,AGARWALEYE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120912_1386310_15022025045112.xml
Dr. Lal Path Labs Ltd.,LALPATHLAB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118190_1366404_30012025064835.xml
Dr. Reddy's Laboratories Limited,DRREDDY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117601_1360103_24012025015837.xml
Dreamfolks Services Limited,DREAMFOLKS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119167_1375161_07022025081959.xml
Dredging Corporation of India Limited,DREDGECORP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118508_1369571_03022025072627.xml
Ducon Infratechnologies Limited,DUCON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119470_1377214_10022025080532.xml
Dwarikesh Sugar Industries Limited,DWARKESH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117759_1361828_27012025024035.xml
Dynacons Systems & Solutions Limited,DSSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118422_1368345_01022025025950.xml
Dynamatic Technologies Limited,DYNAMATECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119147_1375072_07022025073540.xml
Dynamic Cables Limited,DYCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117940_1363961_29012025104910.xml
Dynemic Products Limited,DYNPRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119349_1376332_10022025031609.xml
E2E Networks Limited,E2E,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117536_1359142_23012025023412.xml
EFFWA INFRA & RESEARCH LIMITED,EFFWA,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_114357_1299865_07112024035019.xml
EID Parry India Limited,EIDPARRY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119723_1378772_11022025075025.xml
EIH Associated Hotels Limited,EIHAHOTELS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119376_1376569_10022025044844.xml
EIH Limited,EIHOTEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119751_1378909_11022025100028.xml
EMKAY TAPS AND CUTTING TOOLS LIMITED,EMKAYTOOLS,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
EMS Limited,EMSLIMITED,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117777_1362185_27012025055605.xml
EPACK Durable Limited,EPACK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118424_1368371_01022025032521.xml
EPL Limited,EPL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119760_1378987_12022025095901.xml
ESAF Small Finance Bank Limited,ESAFSFB,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_119463_1377174_10022025075105.xml
ESSEN SPECIALITY FILMS LIMITED,ESFL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_117617_1360300_24012025035847.xml
ETERNAL LIMITED,ETERNAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117409_1353529_20012025062946.xml
EURO PANEL PRODUCTS LIMITED,EUROBOND,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116467_1313864_15112024114255.xml
Eastern Silk Industries Limited,EASTSILK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120853_1385997_15022025124036.xml
Easy Trip Planners Limited,EASEMYTRIP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120704_1385128_14022025065300.xml
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119978_1380283_12022025060617.xml
Edelweiss Financial Services Limited,EDELWEISS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119195_1375302_07022025110209.xml
Educomp Solutions Limited,EDUCOMP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120634_1384647_14022025053638.xml
Eicher Motors Limited,EICHERMOT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119540_1377661_11022025123429.xml
Eimco Elecon (India) Limited,EIMCOELECO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117455_1356630_22012025092740.xml
Eldeco Housing And Industries Limited,ELDEHSG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120177_1381451_13022025014407.xml
Elecon Engineering Company Limited,ELECON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117486_1357132_22012025050223.xml
Electronics Mart India Limited,EMIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119416_1376854_10022025061119.xml
Electrosteel Castings Limited,ELECTCAST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118326_1367552_31012025054656.xml
Electrotherm (India) Limited,ELECTHERM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119832_1379415_12022025022338.xml
Elgi Equipments Limited,ELGIEQUIP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119461_1377145_10022025074118.xml
Elgi Rubber Company Limited,ELGIRUBCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120379_1382783_13022025071848.xml
Elin Electronics Limited,ELIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119295_1375845_08022025065140.xml
Emami Limited,EMAMILTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117781_1362295_27012025063410.xml
Emami Paper Mills Limited,EMAMIPAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120384_1382810_13022025072822.xml
Emami Realty Limited,EMAMIREAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120561_1384106_14022025035950.xml
Embassy Developments Limited,EMBDL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117193_1342453_10012025064807.xml
Emcure Pharmaceuticals Limited,EMCURE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118846_1372723_06022025033359.xml
Emkay Global Financial Services Limited,EMKAY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118233_1366805_31012025111316.xml
Emmbi Industries Limited,EMMBI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120014_1380459_12022025064047.xml
Endurance Technologies Limited,ENDURANCE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120076_1380803_12022025083708.xml
Energy Development Company Limited,ENERGYDEV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119458_1377109_10022025072442.xml
Engineers India Limited,ENGINERSIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119358_1376384_10022025033257.xml
Entero Healthcare Solutions Limited,ENTERO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120218_1381685_13022025032023.xml
Entertainment Network (India) Limited,ENIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119244_1375560_08022025024714.xml
Enviro Infra Engineers Limited,EIEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118960_1373745_06022025083605.xml
Epigral Limited,EPIGRAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117756_1361796_27012025020935.xml
Equippp Social Impact Technologies Limited,EQUIPPP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119975_1380247_12022025060055.xml
Equitas Small Finance Bank Limited,EQUITASBNK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_118402_1368141_01022025110939.xml
Eris Lifesciences Limited,ERIS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118681_1371158_05022025120159.xml
Eros International Media Limited,EROSMEDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
Esab India Limited,ESABINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119497_1377375_10022025101842.xml
