company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
Allied Blenders and Distillers Limited,ABDL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118107_1365562_30012025125116.xml
Allied Digital Services Limited,ADSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118436_1368530_01022025061801.xml
Almondz Global Securities Limited,ALMONDZ,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119841_1379519_12022025032000.xml
Alok Industries Limited,ALOKINDS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117263_1347136_16012025022152.xml
Alpa Laboratories Limited,ALPA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120543_1383975_14022025033822.xml
Alphageo (India) Limited,ALPHAGEO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119765_1379026_12022025110753.xml
Alps Industries Limited,ALPSINDUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120892_1386185_15022025031032.xml
Amara Raja Energy & Mobility Limited,ARE&M,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119299_1375868_08022025071252.xml
Amber Enterprises India Limited,AMBER,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117592_1359980_24012025121327.xml
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120847_1385971_15022025123225.xml
Ambika Cotton Mills Limited,AMBIKCO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119564_1377834_11022025024217.xml
Ambuja Cements Limited,AMBUJACEM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118017_1364685_29012025050507.xml
Amines & Plasticizers Limited,AMNPLST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120540_1383965_14022025033537.xml
Amit Spinning Industries Limited,ASIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120808_1385799_15022025111219.xml
Amj Land Holdings Limited,AMJLAND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118717_1371459_05022025025140.xml
Amrutanjan Health Care Limited,AMRUTANJAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120002_1380410_12022025063235.xml
Anand Rathi Wealth Limited,ANANDRATHI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117219_1344926_14012025033644.xml
Anant Raj Limited,ANANTRAJ,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118444_1368597_01022025082916.xml
Andhra Cements Limited,ACL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117607_1360187_24012025030609.xml
Angel One Limited,ANGELONE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117213_1344410_13012025085025.xml
